Label,NumberSequences,Task,Realtime,%cpu,cpus
train-2,492800,MERGED_LIB_MACS2_ANNOTATE,158268,99.5,6
train-2,7881800,MERGED_LIB_PLOTPROFILE,684283,645.1,8
train-2,7881800,MERGED_LIB_ATAQV,14746,176.2,6
train-2,7881800,MERGED_LIB_MACS2_ANNOTATE,159944,99.8,6
train-2,985400,MERGED_LIB_ATAQV,3554,237.4,6
train-2,985400,MERGED_LIB_PLOTPROFILE,632104,687.5,8
train-2,985400,MERGED_LIB_MACS2_ANNOTATE,158322,99.8,6
test,63053586,MERGED_LIB_PLOTPROFILE,685557,639.6,8
test,63053586,MERGED_LIB_ATAQV,103844,142.6,6
test,63053586,MERGED_LIB_MACS2_ANNOTATE,162352,99.8,6
test,21027690,FASTQC,191252,104.7,6
test,21027690,TRIMGALORE,395667,447.5,8
test,62168398,TRIMGALORE,1190681,465.5,8
test,62168398,FASTQC,554067,102.2,6
test,11980568,TRIMGALORE,239678,425.4,8
test,11980568,FASTQC,116061,109.3,6
test,59743740,FASTQC,562237,102.6,6
test,59743740,TRIMGALORE,1143115,437.2,8
test,11980568,BWA_MEM,636425,745.6,8
test,59743740,BWA_MEM,1735618,783.6,8
test,21027690,BWA_MEM,1058494,773.6,8
test,62168398,BWA_MEM,2613184,787.3,8
test,11980568,SORT_BAM,85390,187.6,6
test,59743740,SORT_BAM,414306,214.5,6
test,21027690,SORT_BAM,163052,211.0,6
test,62168398,SORT_BAM,491819,216.0,6
test,62168398,MERGED_LIB_BAM,2128259,152.6,6
test,11980568,MERGED_LIB_BAM,406653,117.6,6
test,59743740,MERGED_LIB_BAM,1865043,146.1,6
test,21027690,MERGED_LIB_BAM,698722,125.1,6
test,62168398,MERGED_LIB_BAM_FILTER,1365975,175.2,6
test,11980568,MERGED_LIB_BAM_FILTER,221290,166.1,6
test,59743740,MERGED_LIB_BAM_FILTER,225958,155.4,6
test,21027690,MERGED_LIB_BAM_FILTER,366523,168.1,6
test,62168398,MERGED_LIB_BAM_REMOVE_ORPHAN,807597,150.2,6
test,11980568,MERGED_LIB_BAM_REMOVE_ORPHAN,130052,138.0,6
test,59743740,MERGED_LIB_BAM_REMOVE_ORPHAN,111164,137.6,6
test,21027690,MERGED_LIB_BAM_REMOVE_ORPHAN,216238,138.3,6
test,62168398,MERGED_LIB_BIGWIG,452423,130.7,6
test,62168398,MERGED_LIB_PLOTFINGERPRINT,137687,525.5,8
test,62168398,MERGED_LIB_MACS2,817432,117.3,6
test,62168398,MERGED_LIB_PICARD_METRICS,464165,102.2,6
test,11980568,MERGED_LIB_MACS2,123033,119.5,6
test,11980568,MERGED_LIB_PLOTFINGERPRINT,78600,487.3,8
test,11980568,MERGED_LIB_BIGWIG,100967,121.8,6
test,11980568,MERGED_LIB_PICARD_METRICS,100796,111.4,6
test,59743740,MERGED_LIB_BIGWIG,90662,121.2,6
test,59743740,MERGED_LIB_MACS2,101251,119.8,6
test,59743740,MERGED_LIB_PLOTFINGERPRINT,71456,424.0,8
test,59743740,MERGED_LIB_PICARD_METRICS,91246,113.7,6
test,21027690,MERGED_LIB_MACS2,205119,119.1,6
test,21027690,MERGED_LIB_BIGWIG,152247,127.8,6
test,21027690,MERGED_LIB_PLOTFINGERPRINT,111930,573.5,8
test,21027690,MERGED_LIB_PICARD_METRICS,152003,108.1,6
test,62168398,MERGED_LIB_PLOTPROFILE,709598,617.5,8
test,62168398,MERGED_LIB_ATAQV,352603,189.1,6
test,62168398,MERGED_LIB_MACS2_ANNOTATE,175016,99.6,6
test,11980568,MERGED_LIB_ATAQV,55927,201.9,6
test,11980568,MERGED_LIB_MACS2_ANNOTATE,161651,100.0,6
test,11980568,MERGED_LIB_PLOTPROFILE,707321,623.6,8
test,59743740,MERGED_LIB_PLOTPROFILE,709317,628.3,8
test,59743740,MERGED_LIB_ATAQV,102220,143.4,6
test,59743740,MERGED_LIB_MACS2_ANNOTATE,162959,100.0,6
test,21027690,MERGED_LIB_ATAQV,91770,183.6,6
test,21027690,MERGED_LIB_MACS2_ANNOTATE,161205,100.0,6
test,21027690,MERGED_LIB_PLOTPROFILE,717802,610.5,8
